Country;pts_count;pts_ppm;infants;children;adolescents;male;female;data;iso_a3;year
Iceland;2;30.2;0;46.9;44.6;0;61.6;Provided extended data to the ESPN Registry;ISL;2008
Italy;266;31.6;20.5;34.3;40.2;35.6;27.4;Provided extended data to the ESPN Registry;ITA;2008
Latvia;1;3.2;0;0;9.7;6.3;0;Provided extended data to the ESPN Registry;LVA;2008
Lithuania;17;33.3;19.2;18.6;56.7;45.8;20.1;Provided extended data to the ESPN Registry;LTU;2008
Montenegro;4;32.7;77.2;0;23.2;47.3;17;Provided extended data to the ESPN Registry;MNE;2008
Norway;39;42.9;6.8;53.5;66.7;49.4;36;Provided extended data to the ESPN Registry;NOR;2008
Poland;204;34.8;16.7;38.6;47;40.9;28.3;Provided extended data to the ESPN Registry;POL;2008
Portugal;69;42.4;24.4;41.4;61.4;51.6;32.8;Provided extended data to the ESPN Registry;PRT;2008
Republic of Serbia;38;33.7;19.4;18.9;60.7;39.7;27.4;Provided extended data to the ESPN Registry;SRB;2008
Romania;40;12.2;2.8;7.4;25.9;11.3;13.2;Provided extended data to the ESPN Registry;ROU;2008
Russia;206;9.8;3.4;9.3;17.4;10.3;9.3;Provided extended data to the ESPN Registry;RUS;2008
Slovakia;22;26.1;11.1;18.9;45.3;30.1;21.9;Provided extended data to the ESPN Registry;SVK;2008
Slovenia;10;35.4;20.9;55.3;31.2;55.2;14.6;Provided extended data to the ESPN Registry;SVN;2008
Spain;266;39.5;18.9;39.2;62.7;46.2;32.4;Provided extended data to the ESPN Registry;ESP;2008
Sweden;68;44.1;22.6;45.6;64.3;49.3;38.6;Provided data via ERA-EDTA Registry;SWE;2008
Switzerland;52;44.1;16.1;49.5;64;46.2;42;Provided extended data to the ESPN Registry;CHE;2008
the Netherlands;134;45.7;16;45.5;74.5;50;41.2;Provided extended data to the ESPN Registry;NLD;2008
Ukraine;15;2.3;NA;NA;NA;2.4;2.2;Provided limited data to the ESPN Registry;UKR;2008
United Kingdom;554;51.5;26.2;43.3;84.7;61.2;40.8;Provided extended data to the ESPN Registry;GBR;2008
Turkey;;;;;;;;Provided limited data to the ESPN Registry;TUR;2008
Germany;;;;;;;;Intend to contribute data in the near future;DEU;2008
Bosnia and Herz.;;;;;;;;Intend to contribute data in the near future;BIH;2008
Luxemburg;;;;;;;;Provided data via ERA-EDTA Registry;LUX;2008
Bulgaria;;;;;;;;Intend to contribute data in the near future;BGR;2008
Albania;;;;;;;;Intend to contribute data in the near future;ALB;2008
Austria;59;46.8;30.3;36.8;69.9;57.2;35.8;Provided data via ERA-EDTA Registry;AUT;2009
Belarus;29;20.5;14.4;8.9;37.5;19.2;21.8;Provided extended data to the ESPN Registry;BLR;2009
Belgium;98;53.7;25.7;53.9;82.4;57.9;49.4;Provided extended data to the ESPN Registry;BEL;2009
Bulgaria;11;10.7;0;11.9;21.7;15.2;6;Provided extended data to the ESPN Registry;BGR;2009
Croatia;22;32.5;18.9;14.2;59.5;40.4;24.3;Provided extended data to the ESPN Registry;HRV;2009
Czech Republic;35;23.5;21.7;25.8;23.5;22.3;24.9;Provided extended data to the ESPN Registry;CZE;2009
Denmark;49;48.2;27.2;35.9;79.5;57.5;38.3;Provided extended data to the ESPN Registry;DNK;2009
Estonia;2;9.9;0;31.2;0;19.3;0;Provided extended data to the ESPN Registry;EST;2009
Finland;71;79.8;64.1;87;88.3;83.6;75.8;Provided extended data to the ESPN Registry;FIN;2009
France;361;30.3;11;30.9;49.4;36.5;23.7;Provided extended data to the ESPN Registry;FRA;2009
FYR of Macedonia;;;;;;;;Provided extended data to the ESPN Registry;MKD;2009
Greece;53;32.7;17.8;26.8;54.4;33.6;31.9;Provided data via ERA-EDTA Registry;GRC;2009
Hungary;44;29.6;10.2;29.1;48.6;34.1;24.9;Provided limited data to the ESPN Registry;HUN;2009
Iceland;2;30.1;0;46.8;45.3;0;61.4;Provided extended data to the ESPN Registry;ISL;2009
Italy;264;31.2;19.4;32.6;41.9;36.1;26.1;Provided extended data to the ESPN Registry;ITA;2009
Latvia;;;;;;;;Provided extended data to the ESPN Registry;LVA;2009
Lithuania;19;37.8;24.8;12.9;70;50.5;24.5;Provided extended data to the ESPN Registry;LTU;2009
Montenegro;4;32.8;76.3;0;23.5;47.3;17;Provided extended data to the ESPN Registry;MNE;2009
Norway;41;44.8;16.6;56.9;60.3;49.1;40.3;Provided extended data to the ESPN Registry;NOR;2009
Poland;219;37.7;19.8;40.5;51.9;41;30.1;Provided extended data to the ESPN Registry;POL;2009
Portugal;70;43.2;21;52.1;55.7;54.2;31.7;Provided extended data to the ESPN Registry;PRT;2009
Republic of Serbia;40;35.9;19.9;10.6;75.4;36.6;35.1;Provided extended data to the ESPN Registry;SRB;2009
Romania;46;14.1;3.7;8.4;29.7;13.8;14.5;Provided extended data to the ESPN Registry;ROU;2009
Russia;231;10.9;3.8;9;21;11.3;10.4;Provided extended data to the ESPN Registry;RUS;2009
Slovakia;21;25.2;7.2;15.3;50.7;30.4;19.7;Provided extended data to the ESPN Registry;SVK;2009
Slovenia;10;35;19.9;44.1;42.2;54.5;14.4;Provided extended data to the ESPN Registry;SVN;2009
Spain;279;40.6;21.3;42.5;60.5;49.2;31.4;Provided extended data to the ESPN Registry;ESP;2009
Sweden;76;49.2;31.3;46.3;71;56.7;41.2;Provided data via ERA-EDTA Registry;SWE;2009
Switzerland;50;42.4;18.5;52.4;54.9;46.1;38.4;Provided extended data to the ESPN Registry;CHE;2009
the Netherlands;144;49.3;26.9;45.7;74.3;57.6;40.7;Provided extended data to the ESPN Registry;NLD;2009
Ukraine;;;;;;;;Provided limited data to the ESPN Registry;UKR;2009
United Kingdom;597;55.3;28.6;49.9;88.3;61;41.4;Provided extended data to the ESPN Registry;GBR;2009
Turkey;;;;;;;;Provided limited data to the ESPN Registry;TUR;2009
Germany;;;;;;;;Intend to contribute data in the near future;DEU;2009
Bosnia and Herz.;;;;;;;;Intend to contribute data in the near future;BIH;2009
Luxemburg;;;;;;;;Provided data via ERA-EDTA Registry;LUX;2009
Albania;;;;;;;;Intend to contribute data in the near future;ALB;2009
Albania;3;4;4.4;0;7.3;2.6;5.6;Intend to contribute data in the near future;ALB;2010
Austria;51;41.1;35.6;32;54.5;53.5;28.1;Provided data via ERA-EDTA Registry;AUT;2010
Belarus;30;21.2;8.2;20;35.4;16.5;26.2;Provided extended data to the ESPN Registry;BLR;2010
Belgium;91;49.3;22;56.7;70.6;53;45.5;Provided extended data to the ESPN Registry;BEL;2010
Bulgaria;12;11.7;2.7;5.9;28.2;17;6;Provided extended data to the ESPN Registry;BGR;2010
Croatia;20;29.9;18.7;19.3;48.4;34.9;24.5;Provided extended data to the ESPN Registry;HRV;2010
Czech Republic;36;23.9;8.7;41.8;24.1;24.6;23.2;Provided extended data to the ESPN Registry;CZE;2010
Denmark;48;47.5;27.3;27;86.2;59.9;34.5;Provided extended data to the ESPN Registry;DNK;2010
Estonia;1;4.9;0;15.2;0;9.5;0;Provided extended data to the ESPN Registry;EST;2010
Finland;72;81.1;56.7;107.4;80.1;86;76;Provided extended data to the ESPN Registry;FIN;2010
France;412;34.7;14.2;34.9;55;41.4;27.6;Provided extended data to the ESPN Registry;FRA;2010
FYR of Macedonia;7;19.4;8.8;8.5;38.4;26.8;11.4;Provided extended data to the ESPN Registry;MKD;2010
Germany;125;20.5;13.7;21.4;25.4;27.5;13.1;Provided extended data to the ESPN Registry;DEU;2010
Greece;52;32;19.2;24.6;53.3;34.6;29.2;Provided data via ERA-EDTA Registry;GRC;2010
Hungary;37;25.2;8.2;22.8;44.1;27.9;22.4;Provided limited data to the ESPN Registry;HUN;2010
Iceland;2;30.1;0;47;45.8;0;61.4;Provided extended data to the ESPN Registry;ISL;2010
Italy;257;30.3;17.2;30.7;43;35.9;24.2;Provided extended data to the ESPN Registry;ITA;2010
